id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,105105.0,2088998253376,1,2089006136254,24818642082.0,105213.0,103693.0,1386.26,1.33656,28200677620.0,1.36844,19875340.0,19875415.0,21000000.0,111814.0,-6.00952,2025-05-22T18:41:28.492Z,67.81,154886.30772,2013-07-06T00:00:00.000Z,,2025-06-07T10:48:46.581Z
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2493.45,301013070527,2,301013070527,12567822077.0,2519.25,2469.49,10.79,0.43467,1328158956.0,0.44319,120721763.3578311,120721763.3578311,,4878.26,-48.88821,2021-11-10T14:24:19.604Z,0.432979,575763.26352,2015-10-20T00:00:00.000Z,"{'times': 30.707995572071262, 'currency': 'btc', 'percentage': 3070.7995572071263}",2025-06-07T10:48:46.205Z
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,1.0,154528449193,3,154528449193,40581211150.0,1.001,1.0,2.794e-05,0.00279,639552096.0,0.41559,154468336092.383,154468336092.383,,1.32,-24.3905,2018-07-24T00:00:00.000Z,0.572521,74.73347,2015-03-02T00:00:00.000Z,,2025-06-07T10:48:46.385Z
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,2.18,128455073824,4,218350152189,1478250506.0,2.19,2.15,0.03484822,1.62161,2049533469.0,1.6214,58821652442.0,99986060343.0,100000000000.0,3.4,-35.75868,2018-01-07T00:00:00.000Z,0.00268621,81174.8049,2014-05-22T00:00:00.000Z,,2025-06-07T10:48:45.354Z
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,647.84,94510642736,5,94510642736,615806736.0,651.37,642.19,4.1,0.63706,597886312.0,0.63664,145887575.79,145887575.79,200000000.0,788.84,-17.88098,2024-12-04T10:35:25.220Z,0.0398177,1626791.29312,2017-10-19T00:00:00.000Z,,2025-06-07T10:48:56.555Z
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,151.91,79722157858,6,91532189602,2776333881.0,152.55,147.49,3.45,2.32554,1916244107.0,2.46285,524813863.4171489,602559731.7376238,,293.31,-48.20881,2025-01-19T11:15:27.957Z,0.500801,30233.34683,2020-05-11T19:35:23.449Z,,2025-06-07T10:48:45.986Z
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.999703,61090863295,7,61090885580,6018602462.0,0.999823,0.999704,-9.7575415976658e-05,-0.00976,99057375.0,0.16241,61108459776.69185,61108482067.87395,,1.17,-14.7522,2019-05-08T00:40:28.300Z,0.877647,13.90759,2023-03-11T08:02:13.981Z,,2025-06-07T10:48:57.026Z
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.186013,27824310255,8,27824723202,999137641.0,0.18586,0.176573,0.0093313,5.28143,1399447002.0,5.29595,149583326383.7052,149585546383.7052,,0.731578,-74.60258,2021-05-08T05:08:23.458Z,8.69e-05,213701.97621,2015-05-06T00:00:00.000Z,,2025-06-07T10:48:56.900Z
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.279259,26495740327,9,26495794930,437144057.0,0.279786,0.276694,0.00089561,0.32174,112679063.0,0.42709,94853186523.95724,94853382001.89363,,0.431288,-35.22464,2024-12-04T00:10:40.323Z,0.00180434,15383.13088,2017-11-12T00:00:00.000Z,"{'times': 145.97862713649278, 'currency': 'usd', 'percentage': 14597.86271364928}",2025-06-07T10:48:56.918Z
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.667143,24075271303,10,30021190214,492986427.0,0.669302,0.646065,0.02069445,3.20125,747131698.0,3.20271,36087416951.91958,45000000000.0,45000000000.0,3.09,-78.39218,2021-09-02T06:00:10.474Z,0.01925275,3364.51391,2020-03-13T02:22:55.044Z,,2025-06-07T10:48:46.619Z
